ID;Название;Приоритет;Предусловия;Шаги;Ожидаемый результат;Статус автоматизации;Причина отсутствия покрытия;;;;
58;Редактирование поля 'Publication date' в 'Control panel' (прошедшая дата);Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').
3. В списке есть хотя бы одна новость.";1. Нажать на иконку 'карандаш' в блоке любой новости;Открылась форма редактирования новости. Все поля( 'Category', 'Title', 'Publication date', 'Time', 'Description') заполнены текущими данными новости;;;;;;
;;;;2. Нажать на поле 'Publication date';Открывается форма календаря, текущая дата подсвечена;;;;;;
;;;;3. Попытаться выбрать любую прошедшую дату (вчерашнее число);Прошешие даты визуально неактивны (серого цвета). Клик по ним не приводит к выбору даты;;;;;;
59;Отмена выбора даты публикации в форме редактирования в 'Control panel';Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').
3. В списке есть хотя бы одна новость.";1. Нажать на иконку 'карандаш' в блоке любой новости;Открыласть форма редактирования новости. Все поля( 'Category', 'Title', 'Publication date', 'Time', 'Description') заполнены текущими данными новости;;;;;;
;;;;2. Нажать на поле 'Publication date';Открывается форма календаря, текущая дата подсвечена;;;;;;
;;;;3. Выбрать любую дату в календаре;Дата подсвечена в календаре;;;;;;
;;;;4. Нажать кнопку 'CANCEL' ;Окно календаря закрылось. В форме редактирования поле даты публикации осталось с прежней датой;;;;;;
60;Редактирование поля 'Time' в 'Control panel';Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').
3. В списке есть хотя бы одна новость.";1. Нажать на иконку 'карандаш' в блоке любой новости;Открыласть форма редактирования новости. Все поля( 'Category', 'Title', 'Publication date', 'Time', 'Description') заполнены текущими данными новости;;;;;;
;;;;2. Установить новое время в поле 'Time';Время публикации изменено и отображается в поле;;;;;;
;;;;3. Нажать кнопку 'SAVE' ;Форма закрылась. Призошел возврат к списку 'Control panel'.;;;;;;
;;;;4. Снова нажать на иконку 'карандаш' у той же новости;Открыласть форма редактирования новости;;;;;;
;;;;5. Проверить сохранение выбранного значения в поле 'Time';В поле 'Time' отображается значение, выбранное на шаге 2;;;;;;
61;Отмена выбора времени публикации в форме редактирования в 'Control panel';Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').
3. В списке есть хотя бы одна новость.";1. Нажать на иконку 'карандаш' в блоке любой новости;Открыласть форма редактирования новости. Все поля( 'Category', 'Title', 'Publication date', 'Time', 'Description') заполнены текущими данными новости;;;;;;
;;;;2. Нажать на поле 'Time';Открывается форма часов с установленным временем;;;;;;
;;;;3. Выбрать любое время;Время отражено вверху формы с часами;;;;;;
;;;;4. Нажать кнопку 'CANCEL' ;Форма с часами закрылась. В форме редактирования поле времени публикации осталось прежним;;;;;;
62;Редактирование поля 'Time' в 'Control panel' через клавиатуру;Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').
3. В списке есть хотя бы одна новость.";1. Нажать на иконку 'карандаш' в блоке любой новости;Открыласть форма редактирования новости. Все поля( 'Category', 'Title', 'Publication date', 'Time', 'Description') заполнены текущими данными новости;;;;;;
;;;;2. Нажать на поле 'Time';Открывается форма часов с установленным временем;;;;;;
;;;;3. В левом нижнем углу  нажать на кнопку переключения 'клавиатура';Открывается форма 'Set time', где возможен ручной ввод времени;;;;;;
;;;;4. Удалить текущее значение и ввести в ручную (15:10);Значение корректно отображается в поле 'Time';;;;;;
;;;;5. Нажать кнопку 'SAVE' ;Форма закрылась. Призошел возврат к списку 'Control panel'.;;;;;;
;;;;6. Снова нажать на иконку 'карандаш' у той же новости;Открыласть форма редактирования новости;;;;;;
;;;;7. Проверить сохранение выбранного значения в поле 'Time';В поле 'Time' отображается значение, выбранное на шаге 4;;;;;;
63;Редактирование поля 'Time' в 'Control panel' через клавиатуру (отмена выбора времени);Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').
3. В списке есть хотя бы одна новость.";1. Нажать на иконку 'карандаш' в блоке любой новости;Открыласть форма редактирования новости. Все поля( 'Category', 'Title', 'Publication date', 'Time', 'Description') заполнены текущими данными новости;;;;;;
;;;;2. Нажать на поле 'Time';Открывается форма часов с установленным временем;;;;;;
;;;;3. В левом нижнем углу  нажать на кнопку переключения 'клавиатура';Открывается форма 'Set time', где возможен ручной ввод времени;;;;;;
;;;;4. Удалить текущее значение и ввести любое время;Значение корректно отображается в поле 'Time';;;;;;
;;;;5. Нажать кнопку 'CANCEL' ;Форма 'Set time' закрылась. В форме редактирования поле времени публикации осталось прежним;;;;;;
64;Редактирование поля 'Time' в 'Control panel' через клавиатуру (валидация неккоректного времени - пустые поля);Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').
3. В списке есть хотя бы одна новость.";1. Нажать на иконку 'карандаш' в блоке любой новости;Открыласть форма редактирования новости. Все поля( 'Category', 'Title', 'Publication date', 'Time', 'Description') заполнены текущими данными новости;;;;;;
;;;;2. Нажать на поле 'Time';Открывается форма часов с установленным временем;;;;;;
;;;;3. В левом нижнем углу  нажать на кнопку переключения 'клавиатура';Открывается форма 'Set time', где возможен ручной ввод времени;;;;;;
;;;;4. Удалить текущее значение и оставить поле незаполненным;Поля 'hour' и 'minute' незаполнены;;;;;;
;;;;5. Нажать кнопку 'OK';Форма не закрылась. Появилось сообщение об ошибке: 'Enter a valid time';;;;;;
65;Редактирование поля 'Time' в 'Control panel' через клавиатуру (валидация неккоректного времени - пустое поле 'hour');Средний;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').
3. В списке есть хотя бы одна новость.";1. Нажать на иконку 'карандаш' в блоке любой новости;Открыласть форма редактирования новости. Все поля( 'Category', 'Title', 'Publication date', 'Time', 'Description') заполнены текущими данными новости;;;;;;
;;;;2. Нажать на поле 'Time';Открывается форма часов с установленным временем;;;;;;
;;;;3. В левом нижнем углу  нажать на кнопку переключения 'клавиатура';Открывается форма 'Set time', где возможен ручной ввод времени;;;;;;
;;;;4. Удалить текущее значение, оставить поле 'hour' незаполненным, в поле 'minute' ввести значение от 00 до 59;Поле 'hour' пустое, поле 'minute' заполнено;;;;;;
;;;;5. Нажать кнопку 'OK';Форма не закрылась. Появилось сообщение об ошибке: 'Enter a valid time';;;;;;
66;Редактирование поля 'Time' в 'Control panel' через клавиатуру (валидация неккоректного времени - пустое поле 'minute');Средний;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').
3. В списке есть хотя бы одна новость.";1. Нажать на иконку 'карандаш' в блоке любой новости;Открыласть форма редактирования новости. Все поля( 'Category', 'Title', 'Publication date', 'Time', 'Description') заполнены текущими данными новости;;;;;;
;;;;2. Нажать на поле 'Time';Открывается форма часов с установленным временем;;;;;;
;;;;3. В левом нижнем углу  нажать на кнопку переключения 'клавиатура';Открывается форма 'Set time', где возможен ручной ввод времени;;;;;;
;;;;4. Удалить текущее значение, заполнить поле 'hour' значением от 00 до 23, поле 'minute' оставить незаполненым;Поле 'hour' заполнено, поле 'minute' пустое;;;;;;
;;;;5. Нажать кнопку 'OK';Форма не закрылась. Появилось сообщение об ошибке: 'Enter a valid time';;;;;;
67;Редактирование поля 'Time' в 'Control panel' через клавиатуру (валидация неккоректного времени - граничное значение в поле 'hour');Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').
3. В списке есть хотя бы одна новость.";1. Нажать на иконку 'карандаш' в блоке любой новости;Открыласть форма редактирования новости. Все поля( 'Category', 'Title', 'Publication date', 'Time', 'Description') заполнены текущими данными новости;;;;;;
;;;;2. Нажать на поле 'Time';Открывается форма часов с установленным временем;;;;;;
;;;;3. В левом нижнем углу  нажать на кнопку переключения 'клавиатура';Открывается форма 'Set time', где возможен ручной ввод времени;;;;;;
;;;;4. Удалить текущее значение, заполнить поле 'hour' значением 24, в поле 'minute' ввести значение от 00 до 59;Поле 'hour' и поле 'minute' заполнено;;;;;;
;;;;5. Нажать кнопку 'OK';Форма не закрылась. Появилось сообщение об ошибке: 'Enter a valid time';;;;;;
68;Редактирование поля 'Time' в 'Control panel' через клавиатуру (валидация неккоректного времени - граничное значение в поле 'minute');Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').
3. В списке есть хотя бы одна новость.";1. Нажать на иконку 'карандаш' в блоке любой новости;Открыласть форма редактирования новости. Все поля( 'Category', 'Title', 'Publication date', 'Time', 'Description') заполнены текущими данными новости;;;;;;
;;;;2. Нажать на поле 'Time';Открывается форма часов с установленным временем;;;;;;
;;;;3. В левом нижнем углу  нажать на кнопку переключения 'клавиатура';Открывается форма 'Set time', где возможен ручной ввод времени;;;;;;
;;;;4. Удалить текущее значение, заполнить поле 'hour' значением от 00 до 23, в поле 'minute' ввести значение 60;Поле 'hour' и поле 'minute' заполнено;;;;;;
;;;;5. Нажать кнопку 'OK';Форма не закрылась. Появилось сообщение об ошибке: 'Enter a valid time';;;;;;
69;Редактирование поля 'Time' в 'Control panel' через клавиатуру (валидация неккоректного времени - ввод спецсимволов');Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').
3. В списке есть хотя бы одна новость.";1. Нажать на иконку 'карандаш' в блоке любой новости;Открыласть форма редактирования новости. Все поля( 'Category', 'Title', 'Publication date', 'Time', 'Description') заполнены текущими данными новости;;;;;;
;;;;2. Нажать на поле 'Time';Открывается форма часов с установленным временем;;;;;;
;;;;3. В левом нижнем углу  нажать на кнопку переключения 'клавиатура';Открывается форма 'Set time', где возможен ручной ввод времени;;;;;;
;;;;4. Удалить текущее значение, попытаться заполнить поля 'hour' или 'minute' спецсимволами (-#+./);Поля блокируют ввод значения '-#+./'.  Поля остаются пустыми;;;;;;
70;Переключение способа ввода времени в форме редактирования 'Control panel';Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').
3. В списке есть хотя бы одна новость.";1. Нажать на иконку 'карандаш' в блоке любой новости;Открыласть форма редактирования новости. Все поля( 'Category', 'Title', 'Publication date', 'Time', 'Description') заполнены текущими данными новости;;;;;;
;;;;2. Нажать на поле 'Time';Открывается форма часов с установленным временем;;;;;;
;;;;3. В левом нижнем углу  нажать на кнопку переключения 'клавиатура';Открывается форма 'Set time', где возможен ручной ввод времени;;;;;;
;;;;4. В левом нижнем углу формы 'Set time' нажать на кнопку переключения 'часы';Открывается форма часов для выбора времени;;;;;;
71;Редактирование поля 'Description' в 'Control panel';Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').
3. В списке есть хотя бы одна новость.";1. Нажать на иконку 'карандаш' в блоке любой новости;Открыласть форма редактирования новости. Все поля( 'Category', 'Title', 'Publication date', 'Time', 'Description') заполнены текущими данными новости;;;;;;
;;;;2. Очистить поле 'Description' и ввести новое уникальное значение ;В поле 'Description' отображается новый введенный текст;;;;;;
;;;;3. Нажать кнопку 'SAVE' ;Форма закрылась. Призошел возврат к списку 'Control panel'.;;;;;;
;;;;4. Нажать на стрелку раскрытия в блоке только что отредактированной новости;Блок новости расширяется вниз, становится виден ранее скрытый текст с обновленным описанием ;;;;;;
72;Редактирование поля 'Description' в 'Control panel' (пустое поле);Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').
3. В списке есть хотя бы одна новость.";1. Нажать на иконку 'карандаш' в блоке любой новости;Открыласть форма редактирования новости. Все поля( 'Category', 'Title', 'Publication date', 'Time', 'Description') заполнены текущими данными новости;;;;;;
;;;;2. Очистить поле 'Description' и оставить незаполненным;Поле 'Description' пустое.  Кнопка 'SAVE' активна;;;;;;
;;;;3. Нажать кнопку 'SAVE' ;Форма не закрылась. Появилось сообщение об ошибке: 'Fill empty fields'. В поле 'Description' отображается индикатор ошибки (восклицательный знак);;;;;;
73;Редактирование поля 'Description' в 'Control panel' (пробелы в поле);Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').
3. В списке есть хотя бы одна новость.";1. Нажать на иконку 'карандаш' в блоке любой новости;Открыласть форма редактирования новости. Все поля( 'Category', 'Title', 'Publication date', 'Time', 'Description') заполнены текущими данными новости;;;;;;
;;;;2. Очистить поле 'Description' и ввести несклько пробелов (5);В поле 'Description' отображаются пробелы, курсор смещен вправо;;;;;;
;;;;3. Нажать кнопку 'SAVE' ;Форма не закрылась. Появилось сообщение об ошибке: 'Fill empty fields'. В поле 'Description' отображается индикатор ошибки (восклицательный знак);;;;;;
74;Редактирование поля 'Description' в 'Control panel' (1 символ в поле);Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').
3. В списке есть хотя бы одна новость.";1. Нажать на иконку 'карандаш' в блоке любой новости;Открыласть форма редактирования новости. Все поля( 'Category', 'Title', 'Publication date', 'Time', 'Description') заполнены текущими данными новости;;;;;;
;;;;2. Очистить поле 'Description' и ввести  один символ (А);В поле 'Description' отображается новый введенный текст;;;;;;
;;;;3. Нажать кнопку 'SAVE' ;Форма закрылась. Призошел возврат к списку 'Control panel'.;;;;;;
;;;;4. Нажать на стрелку раскрытия в блоке только что отредактированной новости;Блок новости расширяется вниз, становится виден ранее скрытый текст с обновленным описанием (А);;;;;;
75;Редактирование поля 'Description' в 'Control panel' (5000 символ в поле);Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').
3. В списке есть хотя бы одна новость.";1. Нажать на иконку 'карандаш' в блоке любой новости;Открыласть форма редактирования новости. Все поля( 'Category', 'Title', 'Publication date', 'Time', 'Description') заполнены текущими данными новости;;;;;;
;;;;2. Очистить поле 'Description' и ввести  5000 символов;В поле 'Description' отображается новый введенный текст полностью. Поле не блокирует ввод;;;;;;
;;;;3. Нажать кнопку 'SAVE' ;Форма закрылась. Призошел возврат к списку 'Control panel'.;;;;;;
;;;;4. Нажать на стрелку раскрытия в блоке только что отредактированной новости;Блок новости расширяется вниз, становится виден ранее скрытый текст с обновленным описанием на 5000 символов;;;;;;
76;Изменение статуса новости на 'Active' через форму редактирвания в 'Control panel';Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').
3. В списке есть хотя бы одна новость.";1. Нажать на иконку 'карандаш' в блоке новости со статусом 'Not active';Открыласть форма редактирования новости. Все поля( 'Category', 'Title', 'Publication date', 'Time', 'Description') заполнены текущими данными новости;;;;;;
;;;;2. Перевести переключатель (свитч) в положение 'Active' ;Переключатель визуально изменил состояние (подсвечен), отображается текстовая метка 'Active';;;;;;
;;;;3. Нажать кнопку SAVE ;Форма закрылась. Призошел возврат к списку 'Control panel'. У отредактирванной новости статус изменился на 'Active' ;;;;;;
77;Изменение статуса новости на 'Not active' через форму редактирвания в 'Control panel';Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').
3. В списке есть хотя бы одна новость.";1. Нажать на иконку 'карандаш' в блоке новости со статусом 'Active';Открыласть форма редактирования новости. Все поля( 'Category', 'Title', 'Publication date', 'Time', 'Description') заполнены текущими данными новости;;;;;;
;;;;2. Перевести переключатель (свитч) в положение 'Not active' ;Переключатель визуально изменил состояние (стал серым), отображается текстовая метка 'Not active';;;;;;
;;;;3. Нажать кнопку SAVE ;Форма закрылась. Призошел возврат к списку 'Control panel'. У отредактирванной новости статус изменился на 'Not active' ;;;;;;
78;Отмена редактирования новостей 'Control panel';Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').
3. В списке есть хотя бы одна новость.";1. Нажать на иконку 'карандаш' в блоке любой новости;Открыласть форма редактирования новости. Все поля( 'Category', 'Title', 'Publication date', 'Time', 'Description') заполнены текущими данными новости;;;;;;
;;;;2. Выбрать значение в поле 'Category';Поле заполнено выбранной категорией из выпадающего списка;;;;;;
;;;;3. Нажать кнопку 'CANCEL';Появилось модальное окно подтвержения. Текст окна: 'The changes won't be saved, do you really want to log out?';;;;;;
;;;;4. Нажать кнопку OK;Форма закрылась. Призошел возврат к списку 'Control panel'. ;;;;;;
79;Фильтрация новостей по всем полям в 'Control panel';Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').
";1. Нажать на кнопку фильтрации (иконка фильтрации) в верхней панели раздела;Открылась форма фильтров. Отображаются: поле выбора категории, поля выбора периода времени,  чекбоксы 'Active' и 'Not active', кнопки 'FILTER'  и 'CANCEL';;;;;;
;;;;2. Выбрать значение в поле 'Category';Поле заполнено выбранной категорией из выпадающего списка;;;;;;
;;;;2. Выбрать дату начала периода;Дата начала периода выбрана и отображается в поле;;;;;;
;;;;3. Выбрать дату окончания периода;Дата окончания периода выбрана и отображается в поле;;;;;;
;;;;4. Убедится, что чекбокс 'Active' находится в активном состоянии (установлен по умолчанию);Чекбокс 'Active' установлен;;;;;;
;;;;5. Убедится, что чекбокс 'Not active' находится в активном состоянии (установлен по умолчанию);Чекбокс 'Not active' установлен;;;;;;
;;;;6. Нажать кнопку 'FILTER';Форма фильтрации закрылась, в списке отображаются новости, соответствующие заданным критериям/отображается пустой экран и кнопка 'REFRESH';;;;;;
80;Отмена фильтрации новостей в  'Control panel';Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку фильтрации (иконка фильтрации) в верхней панели раздела;Открылась форма фильтров. Отображаются: поле выбора категории, поля выбора периода времени,  чекбоксы 'Active' и 'Not active', кнопки 'FILTER'  и 'CANCEL';;;;;;
;;;;2. Выбрать значение в поле 'Category';Поле заполнено выбранной категорией из выпадающего списка;;;;;;
;;;;3. Нажать кнопку 'CANCEL';Форма фильтрации закрылась, отображается основной список новостей;;;;;;
81;Фильтрация новостей по полю 'Category' в  'Control panel';Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку фильтрации (иконка фильтрации) в верхней панели раздела;Открылась форма фильтров. Отображаются: поле выбора категории, поля выбора периода времени,  чекбоксы 'Active' и 'Not active', кнопки 'FILTER'  и 'CANCEL';;;;;;
;;;;2. Выбрать значение в поле 'Category';Поле заполнено выбранной категорией из выпадающего списка;;;;;;
;;;;3. Нажать кнопку 'FILTER';Форма фильтрации закрылась, в списке отображаются новости, относящиеся к выбранной категории/отображается пустой экран и кнопка 'REFRESH';;;;;;
82;Фильтрация новостей по валидному периоду дат в  'Control panel';Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку фильтрации (иконка фильтрации) в верхней панели раздела;Открылась форма фильтров. Отображаются: поле выбора категории, поля выбора периода времени,  чекбоксы 'Active' и 'Not active', кнопки 'FILTER'  и 'CANCEL';;;;;;
;;;;2. Выбрать дату начала периода;Дата начала периода выбрана и отображается в поле;;;;;;
;;;;3. Выбрать дату окончания периода;Дата окончания периода выбрана и отображается в поле;;;;;;
;;;;4. Нажать кнопку 'FILTER';Форма фильтрации закрылась, в списке отображаются новости с датой публикации в выбранном диапозоне/отображается пустой экран и кнопка 'REFRESH';;;;;;
83;Фильтрация только с датой начала периода в  'Control panel';Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку фильтрации (иконка фильтрации) в верхней панели раздела;Открылась форма фильтров. Отображаются: поле выбора категории, поля выбора периода времени,  чекбоксы 'Active' и 'Not active', кнопки 'FILTER'  и 'CANCEL';;;;;;
;;;;2. Выбрать дату начала периода;Дата начала периода выбрана и отображается в поле;;;;;;
;;;;3. Нажать кнопку 'FILTER';Появляется всплывающее окно с текстом ошибки 'Wrong period';;;;;;
84;Фильтрация только с датой окончания периода  в  'Control panel';Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку фильтрации (иконка фильтрации) в верхней панели раздела;Открылась форма фильтров. Отображаются: поле выбора категории, поля выбора периода времени,  чекбоксы 'Active' и 'Not active', кнопки 'FILTER'  и 'CANCEL';;;;;;
;;;;2. Выбрать дату окончания периода;Дата начала периода выбрана и отображается в поле;;;;;;
;;;;3. Нажать кнопку 'FILTER';Появляется всплывающее окно с текстом ошибки 'Wrong period';;;;;;
85;Фильтрация новостей по невалидному периоду  в  'Control panel';Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку фильтрации (иконка фильтрации) в верхней панели раздела;Открылась форма фильтров. Отображаются: поле выбора категории, поля выбора периода времени,  чекбоксы 'Active' и 'Not active', кнопки 'FILTER'  и 'CANCEL';;;;;;
;;;;2. Выбрать дату начала периода (она должна быть позже даты окончания) (06.03.2026);Дата начала периода выбрана и отображается в поле;;;;;;
;;;;3. Выбрать дату окончания периода (она должна быть раньше даты начала) (01.03.2026);Дата окончания периода выбрана и отображается в поле;;;;;;
;;;;4. Нажать кнопку 'FILTER';Форма фильтрации закрылась, список пуст отображается кнопка 'REFRESH';;;;;;
86;Отмена выбора даты начала (в календаре) в 'Control panel';Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку фильтрации (иконка фильтрации) в верхней панели раздела;Открылась форма фильтров. Отображаются: поле выбора категории, поля выбора периода времени,  чекбоксы 'Active' и 'Not active', кнопки 'FILTER'  и 'CANCEL';;;;;;
;;;;2. Нажать на поле с датой начала периода;Открылось модальное окно календаря для выбора дыты;;;;;;
;;;;3. Выбрать любую дату в календаре;Дата подсвечена в календаре;;;;;;
;;;;4. Нажать кнопку 'CANCEL' ;Окно календаря закрылось. В форме фильтрации поле даты начала осталось пустым;;;;;;
87;Отмена выбора даты окончания (в календаре) в 'Control panel';Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку фильтрации (иконка фильтрации) в верхней панели раздела;Открылась форма фильтров. Отображаются: поле выбора категории, поля выбора периода времени,  чекбоксы 'Active' и 'Not active', кнопки 'FILTER'  и 'CANCEL';;;;;;
;;;;2. Нажать на поле с датой окончания периода;Открылось модальное окно календаря для выбора дыты;;;;;;
;;;;3. Выбрать любую дату в календаре;Дата подсвечена в календаре;;;;;;
;;;;4. Нажать кнопку 'CANCEL' ;Окно календаря закрылось. В форме фильтрации поле даты окончания осталось пустым;;;;;;
88;Фильтрация новостей по чекбоксу 'Active' в 'Control panel';Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку фильтрации (иконка фильтрации) в верхней панели раздела;Открылась форма фильтров. Отображаются: поле выбора категории, поля выбора периода времени,  чекбоксы 'Active' и 'Not active', кнопки 'FILTER'  и 'CANCEL';;;;;;
;;;;2. Деактивировать (снять флажок)  чекбокс 'Not active';Чекбокс  'Not active' пуст. Чекбокс  'Active' остается выбранным ;;;;;;
;;;;3. Нажать кнопку 'FILTER';Форма закрылась. В списке отображаются только новости со статусом 'Active'/отображается пустой экран и кнопка 'REFRESH';;;;;;
89;Фильтрация новостей по чекбоксу 'Not active' в 'Control panel';Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку фильтрации (иконка фильтрации) в верхней панели раздела;Открылась форма фильтров. Отображаются: поле выбора категории, поля выбора периода времени,  чекбоксы 'Active' и 'Not active', кнопки 'FILTER'  и 'CANCEL';;;;;;
;;;;2. Деактивировать (снять флажок)  чекбокс 'Active';Чекбокс  'Active' пуст. Чекбокс  'Not active' остается выбранным ;;;;;;
;;;;3. Нажать кнопку 'FILTER';Форма закрылась. В списке отображаются только новости со статусом 'Not active'/отображается пустой экран и кнопка 'REFRESH';;;;;;
90;Создание новой новости;Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку добавить (плюс);Открыласть форма создания новости. Отображаются: поле выбора категории, поле 'Title', поле 'Publication date', поле 'Time', поле 'Description', заблокированный ползунок 'Active', кнопки 'SAVE' и 'CANCEL';;;;;;
;;;;2. Выбрать категорию в выпадающем списке в поле 'Category';Поле заполнено выбранной категорией из выпадающего списка;;;;;;
;;;;3. Ввести значение в поле 'Title';Текст успешно внесен;;;;;;
;;;;4. Установить дату в поле 'Publication date';Дата публикации выбрана и отображается в поле;;;;;;
;;;;5. Установить время в поле 'Time';Время публикации выбрано и отображается в поле;;;;;;
;;;;6. Ввести данные в поле 'Description';Текст успешно внесен;;;;;;
;;;;7. Убедится, что переключатель 'Active' находится в заблокирванном состоянии (установлен по умолчанию);Состяние переключателя 'Active';;;;;;
;;;;8. Нажать кнопку 'SAVE';Форма закрылась. Призошел возврат к списку 'Control panel'. В списке отображается созданная новость;;;;;;
91;Отмена создания новости;Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку добавить (плюс);Открыласть форма создания новости. Отображаются: поле выбора категории, поле 'Title', поле 'Publication date', поле 'Time', поле 'Description', заблокированный ползунок 'Active', кнопки 'SAVE' и 'CANCEL';;;;;;
;;;;2. Выбрать значение в поле 'Category';Поле заполнено выбранной категорией из выпадающего списка;;;;;;
;;;;3. Нажать кнопку 'CANCEL';Появилось модальное окно подтвержения. Текст окна: 'The changes won't be saved, do you really want to log out?';;;;;;
;;;;4. Нажать кнопку OK;Форма закрылась. Призошел возврат к списку 'Control panel'. ;;;;;;
92;Создание новости с заполнением только поля 'Category';Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку добавить (плюс);Открыласть форма создания новости. Отображаются: поле выбора категории, поле 'Title', поле 'Publication date', поле 'Time', поле 'Description', заблокированный ползунок 'Active', кнопки 'SAVE' и 'CANCEL';;;;;;
;;;;2. Выбрать значение в поле 'Category';Поле заполнено выбранной категорией из выпадающего списка;;;;;;
;;;;3. Очистить поле 'Title' (если оно было заполнено автоматически) и оставить остальные поля пустыми;Поля 'Title', 'Publication date', 'Time', 'Description' - пустые;;;;;;
;;;;4. Нажать кнопку 'SAVE' ;Форма не закрылась. Появилось сообщение об ошибке: 'Fill empty fields'. Рядом с незаполненными обязательными полями отображается индикатор ошибки (восклицательный знак);;;;;;
93;Создание новости с заполнением только поля 'Title';Высокий;"1. Пользователь авторизован.
2. Пользователь перешел в раздел 'Control panel' (кнопка 'карандаш' в разделе 'News').";1. Нажать на кнопку добавить (плюс);Открыласть форма создания новости. Отображаются: поле выбора категории, поле 'Title', поле 'Publication date', поле 'Time', поле 'Description', заблокированный ползунок 'Active', кнопки 'SAVE' и 'CANCEL';;;;;;
